CPU,RAM,Price,File
Ryzen 3600,500,Unknown,213275_Gigahost.no__Dedicated_Server_New_Years_Sale.md
EPYC Special,500,€5,212624_WINTER_SALE__15€YEAR_7950X3D_VPS__RYZENEPYCXEON_-_[GERMANY_+_Netherlands]_+_Giveaway.md
Ryzen 7,500,$41.30,212132_Swiftnode_-_2025_Black_Friday_Baremetal_Deals_-_Dallas_and_Chicago.md
EPYC 7371,500,$163,214849_Amsterdam_Servers__Up_to_5Gbps_-_Unmetr.__IntelAMD_8_to_32_Cores__247_Support__Crypto_Pay.md
EPYC 7532,500,$5,"206727_servaRICA_–_New_KVM_VPS_Launch_Chimera_Hybrid,_Slim_&_FAT_Slices_–_Blazing_Disk_Speed.md"
EPYC 7451,500,$69,216893_Amsterdam_&_Frankfurt_Dedics_from_$69__Up_to_5Gbps-Unmet_8_to_48_Cores__247_Support__Crypto_Ok.md
Ryzen 7950X,500,$20,209918_Layer.ae__Annual_Fest_2025__Freebies__Giveaways__Discounts!.md
Ryzen 9950X,500,€4,212674_DeluxHost.net__NEW_V_Series_NVMe_VPS__Storage_VPS_&_Ryzen_9950X_Available__From_€4yr__AMS__NED.md
EPYC 9554P,480,€100,216896_🇳🇱_Amsterdam_&_🇺🇸_New_York__10Gbps_Dedicated_Servers__From_€100mo__Instant_Deploy__RedSwitc.md
EPYC 9655P,480,€85.00,211930_Worldstream_Black_Friday_–_Dedicated_Servers_w_Lifetime_Deals_–_EPYC_9655P_&_Xeon_6741P__6761P.md
Xeon Gold,450,$5,"202214_Need_RAM,_bandwidth_or_storage_Introducing_new_plans_from_ServerPoint!.md"
Ryzen 9,400,$6,210804_New_Seattle_Node!_Tudcloud_Ryzen_9_9900X_VPS_—_2Gbps_In__500Mbps_Out_—_10%_OFF_with_SEAPRE10.md
EPYCs,384,$100,"211979_GORILLASERVERS_Black_Friday_Begins_-_100TB_Storage_under_$100,_Insane_EPYCs,_Ryzen,_GPUs,_FREE_STUFF.md"
epyc-ryzen-special-price-support-alipay-usdt,384,$159,209795_iWebFusion__USA_SIX_LOCATIONS__E3E5EPYCRYZEN__SPECIAL_PRICE__Support_Alipay_&_USDT_.md
Xeon Gold 6262,384,$150,209248_[Dedicated_Servers]_384GB_RAM_for_$150mo__192GB_RAM_for_$100mo__Others_starting_at_$60mo.md
Xeon Gold 5115,384,$60.90,215657_10G_FULL_UNMETERED__-_Easter_Offers!_-_from_$60.90.md
Ryzen 9000,384,$3.50,211345_NYC_Ryzen_9000_&_1TB_Storage_VPS_SALE__Starting_at_$3.50mo__CREDIT_BOOST_+_$1_CREDIT_GIVEAWAY.md
Ryzen 9,384,$159,212395_iWebFusion.NetCyber_Monday_Special_-_Buy_One_Month_Get_One_Month_Free.md
Ryzen 9000,384,$3.50,210835_NYC_Ryzen_9000_&_1TB_Storage_VPS__Starting_at_$3.50mo__Unmetered_BW__FREE_CREDITS_&_GIVEAWAY.md
Ryzen 9000,384,$3.50,209695_NYC_Ryzen_9000_VPS_$3.50mo__1TB_Storage_VPS_$5mo__Unmetered_BW__Credit_Boost_+_Giveaway.md
Ryzen 9000,384,$3.50,210446_NYC_Ryzen_9000_VPS_$3.50mo__1TB_Storage_VPS_$5mo__Unmetered_BW__Credit_Boost_+_Giveaway.md
Ryzen 9,384,$145,212752_iWF_2025_Winter_Blowout-Support_USDTALIPAY-365247_LiveChat.md
Ryzen 9,384,€3.50,"168917_★_KVM_VPS_★_2GB_RAM,_50_GB_SSD_€3.50_★_NL_★_Linux_★.md"
Ryzen 9000,384,$3.50,210099_NYC_Ryzen_9000_VPS_$3.50mo__1TB_Storage_VPS_$5mo__Unmetered_BW__Credit_Boost_+_Giveaway.md
Ryzen 9,380,Unknown,207192_Kuroit__Chicago_Ryzen_9_9950X_VPS__USA_Reseller_Packs__10Gbps_Network.md
EPYC VPS,350,Unknown,"212203_BF_at_ph24_3rd_gen_EPYC_VPS_starting_at_5,99€.md"
Xeon Platinum 8268,320,Unknown,212779_Alexhost.com_-_NEW_VPS_Line_with_1Gbps_Port_Speed_in_Moldova__KVM__DDoS_Protection.md
EPYC 9334,320,£8,213921_[BitsFlowCloud]_Our_First_Offer!_Starting_at_£8.4Yr_!___USDEHK_VPS_&_China_Optimized_VPS.md
EPYC to,300,$5,211054_Hello_AMD!_Hello_IPv6!_We've_got_some_new_offers_for_you!.md
